[2026-08-31T18:35:46.063029] Frecuencia: 396.2125 MHz (396212500 Hz) | Canal ID: 1297 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.063583] Frecuencia: 397.6625 MHz (397662500 Hz) | Canal ID: 1413 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.063691] Frecuencia: 397.0125 MHz (397012500 Hz) | Canal ID: 1361 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.063812] Frecuencia: 398.4750 MHz (398475000 Hz) | Canal ID: 1478 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.065046] Frecuencia: 396.2000 MHz (396200000 Hz) | Canal ID: 1296 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.065631] Frecuencia: 400.0000 MHz (400000000 Hz) | Canal ID: 1600 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.065889] Frecuencia: 391.3375 MHz (391337500 Hz) | Canal ID: 907 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.066160] Frecuencia: 395.2625 MHz (395262500 Hz) | Canal ID: 1221 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.066422] Frecuencia: 399.6500 MHz (399650000 Hz) | Canal ID: 1572 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.066884] Frecuencia: 396.2250 MHz (396225000 Hz) | Canal ID: 1298 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.067147] Frecuencia: 392.9375 MHz (392937500 Hz) | Canal ID: 1035 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.068064] Frecuencia: 397.6750 MHz (397675000 Hz) | Canal ID: 1414 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.068534] Frecuencia: 398.8750 MHz (398875000 Hz) | Canal ID: 1510 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.275515] Frecuencia: 398.6750 MHz (398675000 Hz) | Canal ID: 1494 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:35:46.276201] Frecuencia: 396.6625 MHz (396662500 Hz) | Canal ID: 1333 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.277082] Frecuencia: 399.8500 MHz (399850000 Hz) | Canal ID: 1588 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.278032] Frecuencia: 390.4375 MHz (390437500 Hz) | Canal ID: 835 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.279222] Frecuencia: 397.8750 MHz (397875000 Hz) | Canal ID: 1430 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.281190] Frecuencia: 390.7125 MHz (390712500 Hz) | Canal ID: 857 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.286491] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.287075] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.289292] Frecuencia: 393.4000 MHz (393400000 Hz) | Canal ID: 1072 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.295254] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.296218] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:35:46.297006] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.139715] Frecuencia: 397.0125 MHz (397012500 Hz) | Canal ID: 1361 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:36:36.139849] Frecuencia: 396.2000 MHz (396200000 Hz) | Canal ID: 1296 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:36:36.139928] Frecuencia: 398.6750 MHz (398675000 Hz) | Canal ID: 1494 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:36:36.139997] Frecuencia: 391.3375 MHz (391337500 Hz) | Canal ID: 907 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:36:36.140763] Frecuencia: 399.6500 MHz (399650000 Hz) | Canal ID: 1572 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.141668] Frecuencia: 397.6750 MHz (397675000 Hz) | Canal ID: 1414 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.142316] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.142428] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.143718] Frecuencia: 393.4000 MHz (393400000 Hz) | Canal ID: 1072 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.145778] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.145972] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:36:36.146117] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.287141] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.287608] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.289039] Frecuencia: 393.4000 MHz (393400000 Hz) | Canal ID: 1072 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.292833] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.293065] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:38:58.293598] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311006] Frecuencia: 396.2125 MHz (396212500 Hz) | Canal ID: 1297 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311210] Frecuencia: 397.0125 MHz (397012500 Hz) | Canal ID: 1361 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311337] Frecuencia: 397.6750 MHz (397675000 Hz) | Canal ID: 1414 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.311513] Frecuencia: 397.3875 MHz (397387500 Hz) | Canal ID: 1391 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.312518] Frecuencia: 396.2000 MHz (396200000 Hz) | Canal ID: 1296 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.312643] Frecuencia: 394.1750 MHz (394175000 Hz) | Canal ID: 1134 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:39:26.527584] Frecuencia: 399.2750 MHz (399275000 Hz) | Canal ID: 1542 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:39:26.531785] Frecuencia: 399.0750 MHz (399075000 Hz) | Canal ID: 1526 | Detectada en: 392.6625 MHz | Celda SCR: 70
[2026-08-31T18:42:22.714999] Frecuencia: 391.0375 MHz (391037500 Hz) | Canal ID: 883 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.675583] Frecuencia: 399.6000 MHz (399600000 Hz) | Canal ID: 1568 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.677594] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.677914] Frecuencia: 393.6000 MHz (393600000 Hz) | Canal ID: 1088 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.679223] Frecuencia: 399.8500 MHz (399850000 Hz) | Canal ID: 1588 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.679684] Frecuencia: 394.2000 MHz (394200000 Hz) | Canal ID: 1136 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.681337] Frecuencia: 390.4500 MHz (390450000 Hz) | Canal ID: 836 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.681750] Frecuencia: 399.2000 MHz (399200000 Hz) | Canal ID: 1536 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.682167] Frecuencia: 394.3500 MHz (394350000 Hz) | Canal ID: 1148 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.685675] Frecuencia: 391.4000 MHz (391400000 Hz) | Canal ID: 912 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:23.687406] Frecuencia: 390.8000 MHz (390800000 Hz) | Canal ID: 864 | Detectada en: 393.6500 MHz | Celda SCR: 70
[2026-08-31T18:42:46.170396] Frecuencia: 390.2750 MHz (390275000 Hz) | Canal ID: 822 | Detectada en: 392.6625 MHz | Celda SCR: 70
